no_worst_examples,gliner_ft_0gt_100llm_f1,gliner_ft_25gt_75llm_f1,gliner_ft_50gt_50llm_f1,gliner_ft_75gt_25llm_f1,gliner_ft_100gt_0llm_f1,confidence,avg_entities,avg_input_tokens,avg_output_tokens,completion_status,completion_percentage
10,62.64128494943487,61.3605175455793,60.43555277690946,61.92946058091287,63.205921119334896,94.52605538264906,1.4,0.0,0.0,complete,100.0
50,66.89209348582794,68.99563318777292,70.70308648062323,70.7760711398545,71.33205606534233,97.23088555410467,1.64,0.0,0.0,complete,100.0
100,68.7099635360205,70.47117354404449,71.43678160919539,77.62861342479177,74.81884057971013,95.94915564100852,1.6,0.0,0.0,complete,100.0
250,73.74192285098884,74.49148418491482,77.36175115207374,77.9423076923077,77.42058936088789,95.77858287502765,1.696,0.0,0.0,complete,100.0
500,72.30586370839937,76.36929662418524,77.38741312006093,80.8429846212265,80.53874682803045,94.51446252098464,1.756,0.0,0.0,complete,100.0
750,74.33903576982893,75.37263198384461,81.41189866211216,82.4599639912821,83.10021076834643,93.89556053391759,1.8186666666666667,0.0,0.0,complete,100.0
1000,72.6165151808161,77.78410168848417,81.21932804832012,83.53398426391126,84.98529830219104,94.18623928066813,1.874,0.0,0.0,complete,100.0
1250,75.72126905012941,79.21635434412266,81.85140073081608,83.90879478827362,85.59977097051245,91.95485613723211,1.9376,0.0,0.0,complete,100.0
1500,74.79096588178761,78.90535917901936,80.71127749181095,83.82602146488419,85.68456883509835,93.59807252684179,1.994,0.0,0.0,complete,100.0
1750,74.89680330229433,78.26744845848307,82.05849268841395,84.681130834977,85.90108015918135,92.97970080892999,2.044,0.0,0.0,complete,100.0
