num_examples,llm_overall_f1,llm_example_accuracy,gt_overall_f1,gt_example_accuracy,avg_entities_per_example,llm_input_tokens,llm_output_tokens
10,59.416288700453556,28.95167895167895,60.876005078290305,26.9041769041769,1.5,0,0
50,67.8773204196933,39.598689598689596,72.43754497789658,43.12039312039312,1.7,0,0
100,63.984142715559955,38.533988533988534,75.64974010395841,46.80589680589681,1.82,0,0
250,69.09900319365141,41.72809172809173,79.1867411832723,53.35790335790336,1.848,0,0
500,67.3223834988541,40.008190008190006,79.94697973868587,53.56265356265356,1.88,0,0
750,69.28625664388763,42.62899262899263,80.72588347659982,55.24160524160524,1.9413333333333334,0,0
1000,70.54905319250166,43.8984438984439,82.98692748988998,60.56511056511057,1.976,0,0
1250,70.04652045950822,42.66994266994267,83.50660297836471,61.50696150696151,2.0208,0,0
1500,68.9969604863222,42.09664209664209,83.36631797191593,61.67076167076168,2.08,0,0
1750,69.15870161824549,41.93284193284194,83.53692914865627,61.384111384111385,2.1245714285714286,0,0
2000,70.7668799541591,43.8984438984439,83.73636794689426,62.32596232596232,2.1615,0,0
2250,69.70813261547181,42.874692874692876,83.83143207315922,62.32596232596232,2.1875555555555555,0,0
2500,71.7497369176313,44.75839475839476,83.91000189071659,62.24406224406225,2.2084,382,46
