no_worst_examples,gliner_base_f1,llm_f1,gliner_confidence,llm_confidence,total_examples
10,60.465116279069775,73.17073170731706,62.29413205927069,100.0,10
25,48.69565217391305,70.17543859649122,65.28244680828519,100.0,25
50,41.55844155844156,64.9789029535865,65.41107241238389,100.0,50
75,40.68767908309456,61.79775280898877,65.01368313659856,100.0,75
100,43.923240938166316,64.55696202531644,65.72306598386457,100.0,100
150,43.23570432357044,65.93103448275862,66.17603946815838,100.0,150
250,44.40789473684211,65.97774244833069,66.23209238700245,100.0,250
500,45.305263157894736,42.047531992687375,66.46979553502675,100.0,500
750,44.375,31.879409878127003,66.7474684703099,100.0,750
800,44.24873231918868,30.58398555087297,66.77571459399361,100.0,800
1000,44.97092397157011,33.766233766233775,67.12967110829182,100.0,1000
