no_worst_examples,gliner_base_f1,llm_f1,gliner_confidence,llm_confidence,total_examples
10,60.465116279069775,73.17073170731706,62.29413205927069,100.0,10
50,41.55844155844156,64.70588235294117,65.41107241238389,100.0,50
100,43.923240938166316,64.8421052631579,65.72306598386457,100.0,100
250,44.40789473684211,66.13672496025437,66.23209238700245,100.0,250
500,45.305263157894736,66.20464737056666,66.46979553502675,100.0,500
750,44.375,66.55728739403884,66.7474684703099,100.0,750
1000,44.97092397157011,66.69430051813471,67.12967110829182,100.0,1000
1250,45.092656142759104,66.71063478977742,67.73480356634695,100.0,1250
1500,45.48705478472321,67.1253612219623,68.19459365675442,100.0,1500
1750,45.15729502105524,66.88095238095238,68.47757173949576,100.0,1750
2000,45.83649983715124,67.01461377870564,69.00047615957791,100.0,2000
2250,46.17917675544794,67.0888433600298,69.43799103572033,100.0,2250
2500,46.16864940517845,67.19932716568545,69.84190651959835,100.0,2500
