no_worst_examples,gliner_base_f1,llm_f1,gliner_confidence,llm_confidence,total_examples
10,8.695652173913043,61.53846153846154,50.14515697956086,100.0,10
25,15.625,59.154929577464785,50.34213730922112,100.0,25
50,12.903225806451612,59.154929577464785,50.625532514908734,100.0,50
75,16.75392670157068,53.70370370370371,50.939636571066714,100.0,75
100,21.789883268482495,56.357388316151194,51.20550121579851,100.0,100
150,22.058823529411764,55.72354211663067,51.67164007822672,100.0,150
250,24.347826086956527,56.81528662420383,52.60409622280686,100.0,250
500,26.430517711171664,58.201701093560146,54.717758394056744,100.0,500
750,28.658271819366043,60.31993757315646,56.844803659205745,100.0,750
800,29.043969342476807,60.88224571636894,57.29510743284085,100.0,800
1000,30.936143831370117,61.82231053079762,58.95615872023201,100.0,1000
