no_worst_examples,gliner_base_f1,llm_f1,gliner_confidence,llm_confidence,total_examples
10,8.695652173913043,66.66666666666666,50.14515697956086,100.0,10
50,12.903225806451612,60.13986013986013,50.625532514908734,100.0,50
100,21.789883268482495,56.655290102389074,51.20550121579851,100.0,100
250,24.347826086956527,57.28770595690749,52.60409622280686,100.0,250
500,26.430517711171664,58.530661809350335,54.717758394056744,100.0,500
750,28.658271819366043,60.76443057722308,56.844803659205745,100.0,750
1000,30.936143831370117,62.12765957446808,58.95615872023201,100.0,1000
1250,33.16820004718093,63.72143634385201,60.84059609934057,100.0,1250
1500,34.42654028436019,63.94390885188431,62.40237239782993,100.0,1500
1750,36.30072349795533,64.01753104455807,63.63824877726708,100.0,1750
2000,37.79147681586706,64.45971267957525,64.72500289966857,100.0,2000
2250,39.058106841611995,64.92226844755858,65.65506749933886,100.0,2250
2500,40.21175005189953,65.05789627323149,66.52544579835363,100.0,2500
