no_worst_examples,gliner_ft_llm_f1,gliner_ft_gt_f1,confidence,avg_entities,avg_input_tokens,model_input_output,avg_output_tokens
10,63.03501945525293,61.84444677064796,94.28990375677768,1.4,450.0,"(128000, 500)",120.0
50,68.93546378916788,73.65785256410257,97.0586654120776,1.72,450.0,"(128000, 500)",120.0
100,64.11024565608149,76.10832497492478,96.5018183699828,1.83,450.0,"(128000, 500)",120.0
250,69.42577299788746,79.94564162298583,97.11072319273799,1.8170731707317074,450.0,"(128000, 500)",120.0
500,68.13100607962345,81.10213221692142,97.13901005823223,1.855421686746988,450.0,"(128000, 500)",120.0
750,68.43783209351754,81.97229487552069,95.97383703280914,1.9052069425901201,450.0,"(128000, 500)",120.0
1000,68.69498660543437,84.54372623574145,93.86306036488497,1.9509018036072143,450.0,"(128000, 500)",120.0
1250,69.8140200286123,85.39026017344897,94.24561837347127,2.004,450.0,"(128000, 500)",120.0
1500,69.48863636363636,85.61955286093217,93.21874649360208,2.067423230974633,450.0,"(128000, 500)",120.0
1750,70.07018555908087,85.93069494413938,92.89461015416383,2.1137793024585476,450.0,"(128000, 500)",120.0
2000,67.66631868653317,85.94104308390023,91.29735424952882,2.153,450.0,"(128000, 500)",120.0
2250,70.27437577138517,86.24478969306554,92.68130391807145,2.1804444444444444,450.0,"(128000, 500)",120.0
2500,70.4939919893191,86.2704337144477,91.85684879258613,2.2012805122048817,450.0,"(128000, 500)",120.0
