no_labels,f1,gliner_f1,confidence,avg_entities
5,54.389163844751245,54.37%,94.28282207959315,2.2
10,63.27875023527197,63.27%,95.093920186353,2.1
25,66.32281553398059,66.33%,96.59946026406837,2.44
50,67.81891387606795,67.78%,97.740527900607,2.52
75,69.26742108397855,69.27%,96.80368311038498,2.533333333333333
100,69.13047740417606,69.14%,98.14196663212516,2.54
250,68.93617021276597,68.94%,97.27108670211854,2.696
500,68.37507280139778,68.38%,97.07206487302183,2.6412825651302607
750,68.01385681293301,68.03%,96.18236872033485,2.6260053619302948
1000,68.98710166919575,68.99%,93.69678084995584,2.6028084252758275
