no_worst_examples,gliner_ft_0gt_100llm_f1,gliner_ft_25gt_75llm_f1,gliner_ft_50gt_50llm_f1,gliner_ft_75gt_25llm_f1,gliner_ft_100gt_0llm_f1,confidence,avg_entities,avg_input_tokens,model_input_output,avg_output_tokens
10,63.33031856094864,64.51813471502591,59.57399600621257,57.002979991485745,61.00106496272632,94.32441939383875,1.4,450.0,"(128000, 500)",120.0
50,68.59706362153344,70.7673568818514,67.64087468460892,73.30718414533443,74.64788732394366,96.83242549311306,1.7,450.0,"(128000, 500)",120.0
100,65.84182915965555,68.28327922077922,69.78908802851768,76.21197252208047,77.11797307996832,97.15552841677463,1.82,450.0,"(128000, 500)",120.0
250,68.48751835535975,72.44094488188976,75.24103355187042,76.02858798531969,78.52617214153425,96.41018967443398,1.8130081300813008,450.0,"(128000, 500)",120.0
500,68.6721183800623,73.29109062980031,76.28167924163279,80.01163241566499,79.83088305947919,93.72511722928851,1.8634538152610443,450.0,"(128000, 500)",120.0
750,70.14653768796092,71.30519165453663,77.71362586605082,81.62446249402771,81.92467809081228,93.71350267960183,1.9092122830440588,450.0,"(128000, 500)",120.0
1000,68.42155642768259,73.25782299865617,79.1937332823844,83.59062321326472,84.78612937029627,93.57955481010683,1.9549098196392785,450.0,"(128000, 500)",120.0
1250,70.45804464973055,74.68619246861924,79.97361228913392,83.78071833648394,85.50185873605949,93.76620100357134,2.0048,450.0,"(128000, 500)",120.0
1500,68.29775174759116,73.85112039498671,80.9249646059462,84.5577779884349,85.33535430087154,91.11728164640138,2.067423230974633,450.0,"(128000, 500)",120.0
1750,70.42872147426716,73.50651786551627,79.7243177796405,83.78045312351881,85.3679325693721,89.05302874808964,2.112635791881075,450.0,"(128000, 500)",120.0
2000,69.77495014718451,76.93774430355612,79.75355450236967,83.75941247559729,85.03028009084026,86.57947661341686,2.1515,450.0,"(128000, 500)",120.0
2250,69.40206576329007,75.53131465111905,81.39731430181239,85.11842974426725,85.75474369866893,90.64281833076016,2.1773333333333333,450.0,"(128000, 500)",120.0
2500,70.28101050241271,80.176376770804,82.69805680119582,85.22278623801466,86.39622641509433,89.38683125947077,2.198079231692677,450.0,"(128000, 500)",120.0
