no_labels,f1,gliner_f1,confidence,avg_entities
5,51.703593371811586,51.68%,93.36973054774525,2.6
10,53.49603634096376,53.51%,96.05782179729664,2.8
25,57.52467464407371,57.54%,97.94322373192425,3.2
50,57.03062226586913,57.03%,97.80338884160278,3.2
75,55.02826794586261,55.03%,98.22784384011369,3.24
100,57.55733148019458,57.59%,97.65528266291848,3.25
250,57.92148615492464,57.91%,93.61107525726563,3.526315789473684
500,59.36127069956066,59.36%,95.66424098648396,3.4357429718875503
750,60.46983268548251,60.47%,93.22428081578576,3.4295302013422817
1000,58.961082345081,59.00%,89.3691664579063,3.3633633633633635
