no_worst_examples,gliner_ft_0gt_100llm_f1,gliner_ft_25gt_75llm_f1,gliner_ft_50gt_50llm_f1,gliner_ft_75gt_25llm_f1,gliner_ft_100gt_0llm_f1,confidence
10,59.16334661354582,58.364272833351016,63.45307542728482,63.06800853918877,61.966115450948564,94.64254822397365
50,68.14398876967813,68.73973727422003,75.1471615284845,69.47631963279782,73.45839153861505,97.27621740208794
100,67.23713976590932,68.69455006337135,74.31876102724956,75.18471086592453,75.87732528909,97.54625330261581
250,68.10504734940935,70.34642478046898,74.35446009389672,76.89509954058194,77.12162690653109,95.94995381670438
500,69.67592592592592,73.59458151910982,75.53129264963931,79.81011431893045,80.53704240316817,94.58409180678112
750,68.7396754445632,73.19181634809337,78.9574183692954,81.97066998945654,82.98115362649914,94.50575932786225
1000,69.93545901165591,74.66076412279857,78.80750547671207,83.10797943248906,84.47216709195729,94.49574985747722
1250,69.6886010856109,74.74592521572387,79.28470588235295,83.4394299287411,85.13796384395815,93.31122718180215
1500,68.3970336565887,75.70568310124199,79.7427652733119,84.10527308744457,85.39240746000189,92.59805671830154
1750,69.79712353557481,74.78211443728685,80.64970425312177,82.2955047899779,85.88179669030734,90.55405651168947
2000,69.35254526495402,75.24303916941953,80.22588235294117,84.78793590951932,85.91376544957072,91.41348931823168
2250,70.45454545454545,76.37832253216868,81.87376540306651,84.03456048084148,85.91975775927327,91.09881778779672
2500,70.13358778625954,73.89957766306898,81.41358782953793,84.73590393095037,85.91084723400245,89.06650212927505
