strategy,subset_size,f1,adapter_name,adapter_path
mse,10,53.17412935323384,mse_10,/app/results2/exp_active_learning_confidence_strategies/adapters/mse_10
mse,50,69.21335597057158,mse_50,/app/results2/exp_active_learning_confidence_strategies/adapters/mse_50
mse,100,74.16094584286803,mse_100,/app/results2/exp_active_learning_confidence_strategies/adapters/mse_100
mse,200,77.16593927012721,mse_200,/app/results2/exp_active_learning_confidence_strategies/adapters/mse_200
mse,400,79.27286014433179,mse_400,/app/results2/exp_active_learning_confidence_strategies/adapters/mse_400
mse,600,79.93286087280866,mse_600,/app/results2/exp_active_learning_confidence_strategies/adapters/mse_600
mse,800,81.92219679633868,mse_800,/app/results2/exp_active_learning_confidence_strategies/adapters/mse_800
mse,1000,83.84442782348542,mse_1000,/app/results2/exp_active_learning_confidence_strategies/adapters/mse_1000
mse,1250,84.88350419384902,mse_1250,/app/results2/exp_active_learning_confidence_strategies/adapters/mse_1250
mse,1500,85.7995337995338,mse_1500,/app/results2/exp_active_learning_confidence_strategies/adapters/mse_1500
mse,1750,85.81533879374535,mse_1750,/app/results2/exp_active_learning_confidence_strategies/adapters/mse_1750
mse,2000,85.12065592099134,mse_2000,/app/results2/exp_active_learning_confidence_strategies/adapters/mse_2000
mse,2250,85.33608711978971,mse_2250,/app/results2/exp_active_learning_confidence_strategies/adapters/mse_2250
mse,2500,85.72229489814987,mse_2500,/app/results2/exp_active_learning_confidence_strategies/adapters/mse_2500
min,10,62.81721976780027,min_10,/app/results2/exp_active_learning_confidence_strategies/adapters/min_10
min,50,75.89074756639259,min_50,/app/results2/exp_active_learning_confidence_strategies/adapters/min_50
min,100,78.66740290815389,min_100,/app/results2/exp_active_learning_confidence_strategies/adapters/min_100
min,200,80.75117370892019,min_200,/app/results2/exp_active_learning_confidence_strategies/adapters/min_200
min,400,82.46867749419953,min_400,/app/results2/exp_active_learning_confidence_strategies/adapters/min_400
min,600,83.76641519977647,min_600,/app/results2/exp_active_learning_confidence_strategies/adapters/min_600
min,800,82.74892180761296,min_800,/app/results2/exp_active_learning_confidence_strategies/adapters/min_800
min,1000,84.6788395588099,min_1000,/app/results2/exp_active_learning_confidence_strategies/adapters/min_1000
min,1250,83.66644975364879,min_1250,/app/results2/exp_active_learning_confidence_strategies/adapters/min_1250
min,1500,84.28849180631423,min_1500,/app/results2/exp_active_learning_confidence_strategies/adapters/min_1500
min,1750,83.09755649458019,min_1750,/app/results2/exp_active_learning_confidence_strategies/adapters/min_1750
min,2000,84.05291199706045,min_2000,/app/results2/exp_active_learning_confidence_strategies/adapters/min_2000
min,2250,85.75931763396996,min_2250,/app/results2/exp_active_learning_confidence_strategies/adapters/min_2250
min,2500,86.02329450915141,min_2500,/app/results2/exp_active_learning_confidence_strategies/adapters/min_2500
mnlp,10,46.8009828009828,mnlp_10,/app/results2/exp_active_learning_confidence_strategies/adapters/mnlp_10
mnlp,50,70.76685040131515,mnlp_50,/app/results2/exp_active_learning_confidence_strategies/adapters/mnlp_50
mnlp,100,74.3874033355073,mnlp_100,/app/results2/exp_active_learning_confidence_strategies/adapters/mnlp_100
mnlp,200,77.11668363097992,mnlp_200,/app/results2/exp_active_learning_confidence_strategies/adapters/mnlp_200
mnlp,400,79.71543573902461,mnlp_400,/app/results2/exp_active_learning_confidence_strategies/adapters/mnlp_400
mnlp,600,80.02242571481966,mnlp_600,/app/results2/exp_active_learning_confidence_strategies/adapters/mnlp_600
mnlp,800,82.24533025226266,mnlp_800,/app/results2/exp_active_learning_confidence_strategies/adapters/mnlp_800
mnlp,1000,83.7404437814656,mnlp_1000,/app/results2/exp_active_learning_confidence_strategies/adapters/mnlp_1000
mnlp,1250,84.4062153163152,mnlp_1250,/app/results2/exp_active_learning_confidence_strategies/adapters/mnlp_1250
mnlp,1500,85.23198966884974,mnlp_1500,/app/results2/exp_active_learning_confidence_strategies/adapters/mnlp_1500
mnlp,1750,85.3656247066554,mnlp_1750,/app/results2/exp_active_learning_confidence_strategies/adapters/mnlp_1750
mnlp,2000,85.55710955710956,mnlp_2000,/app/results2/exp_active_learning_confidence_strategies/adapters/mnlp_2000
mnlp,2250,85.60007437017757,mnlp_2250,/app/results2/exp_active_learning_confidence_strategies/adapters/mnlp_2250
mnlp,2500,85.66660485814946,mnlp_2500,/app/results2/exp_active_learning_confidence_strategies/adapters/mnlp_2500
random,10,64.96659452338383,random_10,/app/results2/exp_active_learning_confidence_strategies/adapters/random_10
random,50,72.05816354007719,random_50,/app/results2/exp_active_learning_confidence_strategies/adapters/random_50
random,100,76.67225638159121,random_100,/app/results2/exp_active_learning_confidence_strategies/adapters/random_100
random,200,80.20574997703683,random_200,/app/results2/exp_active_learning_confidence_strategies/adapters/random_200
random,400,81.96173137655582,random_400,/app/results2/exp_active_learning_confidence_strategies/adapters/random_400
random,600,81.78872326636422,random_600,/app/results2/exp_active_learning_confidence_strategies/adapters/random_600
random,800,82.23866790009251,random_800,/app/results2/exp_active_learning_confidence_strategies/adapters/random_800
random,1000,83.08402585410894,random_1000,/app/results2/exp_active_learning_confidence_strategies/adapters/random_1000
random,1250,83.99516414023994,random_1250,/app/results2/exp_active_learning_confidence_strategies/adapters/random_1250
random,1500,84.37674159390673,random_1500,/app/results2/exp_active_learning_confidence_strategies/adapters/random_1500
random,1750,85.20346400968434,random_1750,/app/results2/exp_active_learning_confidence_strategies/adapters/random_1750
random,2000,85.15034126544919,random_2000,/app/results2/exp_active_learning_confidence_strategies/adapters/random_2000
random,2250,85.38425710293433,random_2250,/app/results2/exp_active_learning_confidence_strategies/adapters/random_2250
random,2500,85.29898804047839,random_2500,/app/results2/exp_active_learning_confidence_strategies/adapters/random_2500
