n_examples,min_f1,mnlp_f1,mse_f1,random_f1
10,62.81721976780027,46.8009828009828,53.17412935323384,64.96659452338383
50,75.89074756639259,70.76685040131515,69.21335597057158,72.05816354007719
100,78.66740290815389,74.3874033355073,74.16094584286803,76.67225638159121
200,80.75117370892019,77.11668363097992,77.16593927012721,80.20574997703683
400,82.46867749419953,79.71543573902461,79.27286014433179,81.96173137655582
600,83.76641519977647,80.02242571481966,79.93286087280866,81.78872326636422
800,82.74892180761296,82.24533025226266,81.92219679633868,82.23866790009251
1000,84.6788395588099,83.7404437814656,83.84442782348542,83.08402585410894
1250,83.66644975364879,84.4062153163152,84.88350419384902,83.99516414023994
1500,84.28849180631423,85.23198966884974,85.7995337995338,84.37674159390673
1750,83.09755649458019,85.3656247066554,85.81533879374535,85.20346400968434
2000,84.05291199706045,85.55710955710956,85.12065592099134,85.15034126544919
2250,85.75931763396996,85.60007437017757,85.33608711978971,85.38425710293433
2500,86.02329450915141,85.66660485814946,85.72229489814987,85.29898804047839
