no_worst_examples,gliner_f1,gliner_confidence,llm_f1
10,9.09090909090909,50.12550413608551,61.53846153846153
50,12.4031007751938,50.63864187552378,59.11949685534591
100,21.969696969696972,51.205563488460726,56.89149560117303
250,24.22535211267606,52.64053204229899,61.60815402038505
500,26.649076517150394,54.70369754311366,60.65301604869949
750,29.069767441860467,56.85295180085831,62.65486725663717
1000,31.709477413640393,58.83151744739412,64.29498831472344
1250,33.95547560152912,60.55628552386306,64.73196291817816
1500,35.75278476464247,62.073916613222835,66.02605863192183
1750,36.852321935194865,63.24186945741569,66.48560564910375
2000,38.26879271070615,64.24928794061155,66.95239198424649
2250,39.63113404325393,65.18571883841976,67.83838383838385
2500,40.89494163424124,65.99839093122885,68.16385195831836
