n_requested,gliner_llm_ft_f1,gliner_gt_ft_f1
10,52.03077822148631,54.27012791572611
50,62.40536655486344,72.13721859467888
100,63.01071363718902,75.69617911000093
250,68.55761182925694,77.90488796445115
500,66.18524937415752,78.90718425167879
750,68.15972553130658,81.67019221925872
1000,67.33075078398818,83.95575304906873
1250,67.65611873424811,84.6268656716418
1500,69.08062234794907,84.00363967242947
1750,69.60120391271633,84.99079189686924
2000,69.86875174532254,85.35090976606014
2250,69.55077944839036,85.4289181368431
2500,69.04739820053798,85.20710059171599
