no_worst_examples,gliner_ft_0gt_100llm_f1,gliner_ft_25gt_75llm_f1,gliner_ft_50gt_50llm_f1,gliner_ft_75gt_25llm_f1,gliner_ft_100gt_0llm_f1,mix_counts
10,52.694179131375016,57.34865374721316,53.397964129907905,51.23469182895002,45.35405494144686,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 10}, {""mixing_ratio_pct"": 25, ""gt_examples"": 2, ""llm_examples"": 8}, {""mixing_ratio_pct"": 50, ""gt_examples"": 5, ""llm_examples"": 5}, {""mixing_ratio_pct"": 75, ""gt_examples"": 8, ""llm_examples"": 2}, {""mixing_ratio_pct"": 100, ""gt_examples"": 10, ""llm_examples"": 0}]"
50,64.95576941771168,66.74360453933448,68.0043491153504,70.34845496383959,70.21381416888363,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 50}, {""mixing_ratio_pct"": 25, ""gt_examples"": 12, ""llm_examples"": 38}, {""mixing_ratio_pct"": 50, ""gt_examples"": 25, ""llm_examples"": 25}, {""mixing_ratio_pct"": 75, ""gt_examples"": 38, ""llm_examples"": 12}, {""mixing_ratio_pct"": 100, ""gt_examples"": 50, ""llm_examples"": 0}]"
100,61.50143478663335,65.71327683615819,71.2951608338836,71.87556520166396,74.39567731538534,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 100}, {""mixing_ratio_pct"": 25, ""gt_examples"": 25, ""llm_examples"": 75}, {""mixing_ratio_pct"": 50, ""gt_examples"": 50, ""llm_examples"": 50}, {""mixing_ratio_pct"": 75, ""gt_examples"": 75, ""llm_examples"": 25}, {""mixing_ratio_pct"": 100, ""gt_examples"": 100, ""llm_examples"": 0}]"
250,66.8205317577548,68.26754991259546,74.18568193694477,76.63651831288617,77.51597825050081,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 250}, {""mixing_ratio_pct"": 25, ""gt_examples"": 62, ""llm_examples"": 188}, {""mixing_ratio_pct"": 50, ""gt_examples"": 125, ""llm_examples"": 125}, {""mixing_ratio_pct"": 75, ""gt_examples"": 188, ""llm_examples"": 62}, {""mixing_ratio_pct"": 100, ""gt_examples"": 250, ""llm_examples"": 0}]"
500,67.45247148288973,72.06755753526356,75.59718164633098,80.47369870559075,79.33884297520662,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 500}, {""mixing_ratio_pct"": 25, ""gt_examples"": 125, ""llm_examples"": 375}, {""mixing_ratio_pct"": 50, ""gt_examples"": 250, ""llm_examples"": 250}, {""mixing_ratio_pct"": 75, ""gt_examples"": 375, ""llm_examples"": 125}, {""mixing_ratio_pct"": 100, ""gt_examples"": 500, ""llm_examples"": 0}]"
750,68.9922480620155,71.16992923444536,77.6059763724809,80.82228834189883,80.98018569924379,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 750}, {""mixing_ratio_pct"": 25, ""gt_examples"": 188, ""llm_examples"": 562}, {""mixing_ratio_pct"": 50, ""gt_examples"": 375, ""llm_examples"": 375}, {""mixing_ratio_pct"": 75, ""gt_examples"": 562, ""llm_examples"": 188}, {""mixing_ratio_pct"": 100, ""gt_examples"": 750, ""llm_examples"": 0}]"
1000,68.73927140949839,71.10029737766965,78.22782623715348,82.32300281741344,83.96584440227704,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 1000}, {""mixing_ratio_pct"": 25, ""gt_examples"": 250, ""llm_examples"": 750}, {""mixing_ratio_pct"": 50, ""gt_examples"": 500, ""llm_examples"": 500}, {""mixing_ratio_pct"": 75, ""gt_examples"": 750, ""llm_examples"": 250}, {""mixing_ratio_pct"": 100, ""gt_examples"": 1000, ""llm_examples"": 0}]"
1250,70.2179176755448,71.35075246976272,78.90482398956976,83.29577210853691,84.107259646828,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 1250}, {""mixing_ratio_pct"": 25, ""gt_examples"": 312, ""llm_examples"": 938}, {""mixing_ratio_pct"": 50, ""gt_examples"": 625, ""llm_examples"": 625}, {""mixing_ratio_pct"": 75, ""gt_examples"": 938, ""llm_examples"": 312}, {""mixing_ratio_pct"": 100, ""gt_examples"": 1250, ""llm_examples"": 0}]"
1500,67.86248131539611,72.51046786819589,78.80524442129027,83.83071079761258,84.9976862563628,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 1500}, {""mixing_ratio_pct"": 25, ""gt_examples"": 375, ""llm_examples"": 1125}, {""mixing_ratio_pct"": 50, ""gt_examples"": 750, ""llm_examples"": 750}, {""mixing_ratio_pct"": 75, ""gt_examples"": 1125, ""llm_examples"": 375}, {""mixing_ratio_pct"": 100, ""gt_examples"": 1500, ""llm_examples"": 0}]"
1750,68.4737438609747,72.33139588522927,76.57695899482128,84.5078196872125,85.09178564806231,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 1750}, {""mixing_ratio_pct"": 25, ""gt_examples"": 438, ""llm_examples"": 1312}, {""mixing_ratio_pct"": 50, ""gt_examples"": 875, ""llm_examples"": 875}, {""mixing_ratio_pct"": 75, ""gt_examples"": 1312, ""llm_examples"": 438}, {""mixing_ratio_pct"": 100, ""gt_examples"": 1750, ""llm_examples"": 0}]"
