no_worst_examples,gliner_ft_0gt_100llm_f1,gliner_ft_25gt_75llm_f1,gliner_ft_50gt_50llm_f1,gliner_ft_75gt_25llm_f1,gliner_ft_100gt_0llm_f1,mix_counts
10,57.36755871108684,58.94803682929412,57.545691906005224,63.53575209315754,62.528194567029516,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 10}, {""mixing_ratio_pct"": 25, ""gt_examples"": 2, ""llm_examples"": 8}, {""mixing_ratio_pct"": 50, ""gt_examples"": 5, ""llm_examples"": 5}, {""mixing_ratio_pct"": 75, ""gt_examples"": 8, ""llm_examples"": 2}, {""mixing_ratio_pct"": 100, ""gt_examples"": 10, ""llm_examples"": 0}]"
50,69.63437106003299,72.23724884080372,64.36963175041959,72.68435464073269,74.502712477396,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 50}, {""mixing_ratio_pct"": 25, ""gt_examples"": 12, ""llm_examples"": 38}, {""mixing_ratio_pct"": 50, ""gt_examples"": 25, ""llm_examples"": 25}, {""mixing_ratio_pct"": 75, ""gt_examples"": 38, ""llm_examples"": 12}, {""mixing_ratio_pct"": 100, ""gt_examples"": 50, ""llm_examples"": 0}]"
100,70.68212046361391,71.38263665594856,73.01770592763664,77.08294326905073,79.530041073646,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 100}, {""mixing_ratio_pct"": 25, ""gt_examples"": 25, ""llm_examples"": 75}, {""mixing_ratio_pct"": 50, ""gt_examples"": 50, ""llm_examples"": 50}, {""mixing_ratio_pct"": 75, ""gt_examples"": 75, ""llm_examples"": 25}, {""mixing_ratio_pct"": 100, ""gt_examples"": 100, ""llm_examples"": 0}]"
250,70.79203156577807,73.4452851079535,77.23927481601149,79.58212853278613,81.44916540212442,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 250}, {""mixing_ratio_pct"": 25, ""gt_examples"": 62, ""llm_examples"": 188}, {""mixing_ratio_pct"": 50, ""gt_examples"": 125, ""llm_examples"": 125}, {""mixing_ratio_pct"": 75, ""gt_examples"": 188, ""llm_examples"": 62}, {""mixing_ratio_pct"": 100, ""gt_examples"": 250, ""llm_examples"": 0}]"
500,67.74618715872717,73.2399661622333,77.9837048974841,82.49170659786215,83.37236533957845,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 500}, {""mixing_ratio_pct"": 25, ""gt_examples"": 125, ""llm_examples"": 375}, {""mixing_ratio_pct"": 50, ""gt_examples"": 250, ""llm_examples"": 250}, {""mixing_ratio_pct"": 75, ""gt_examples"": 375, ""llm_examples"": 125}, {""mixing_ratio_pct"": 100, ""gt_examples"": 500, ""llm_examples"": 0}]"
750,69.07081303859123,73.81934032983509,80.26069100973127,82.60352865892678,82.72921108742003,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 750}, {""mixing_ratio_pct"": 25, ""gt_examples"": 188, ""llm_examples"": 562}, {""mixing_ratio_pct"": 50, ""gt_examples"": 375, ""llm_examples"": 375}, {""mixing_ratio_pct"": 75, ""gt_examples"": 562, ""llm_examples"": 188}, {""mixing_ratio_pct"": 100, ""gt_examples"": 750, ""llm_examples"": 0}]"
1000,70.77977720651243,73.34315169366717,80.52706048814998,83.4233409610984,84.32814973461217,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 1000}, {""mixing_ratio_pct"": 25, ""gt_examples"": 250, ""llm_examples"": 750}, {""mixing_ratio_pct"": 50, ""gt_examples"": 500, ""llm_examples"": 500}, {""mixing_ratio_pct"": 75, ""gt_examples"": 750, ""llm_examples"": 250}, {""mixing_ratio_pct"": 100, ""gt_examples"": 1000, ""llm_examples"": 0}]"
1250,68.188092389804,73.81703470031546,79.41124312821422,83.51950192272479,84.48050736802834,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 1250}, {""mixing_ratio_pct"": 25, ""gt_examples"": 312, ""llm_examples"": 938}, {""mixing_ratio_pct"": 50, ""gt_examples"": 625, ""llm_examples"": 625}, {""mixing_ratio_pct"": 75, ""gt_examples"": 938, ""llm_examples"": 312}, {""mixing_ratio_pct"": 100, ""gt_examples"": 1250, ""llm_examples"": 0}]"
1500,69.15958451369218,74.9362941390608,79.7036252976978,83.9805379601579,84.31243537926497,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 1500}, {""mixing_ratio_pct"": 25, ""gt_examples"": 375, ""llm_examples"": 1125}, {""mixing_ratio_pct"": 50, ""gt_examples"": 750, ""llm_examples"": 750}, {""mixing_ratio_pct"": 75, ""gt_examples"": 1125, ""llm_examples"": 375}, {""mixing_ratio_pct"": 100, ""gt_examples"": 1500, ""llm_examples"": 0}]"
1750,69.0392120423713,74.14375742076902,80.95957352287871,83.99412628487518,83.49194729136165,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 1750}, {""mixing_ratio_pct"": 25, ""gt_examples"": 438, ""llm_examples"": 1312}, {""mixing_ratio_pct"": 50, ""gt_examples"": 875, ""llm_examples"": 875}, {""mixing_ratio_pct"": 75, ""gt_examples"": 1312, ""llm_examples"": 438}, {""mixing_ratio_pct"": 100, ""gt_examples"": 1750, ""llm_examples"": 0}]"
2000,70.32635351820412,73.67934983376432,81.55927376290495,84.13717219878966,85.22368665305365,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 2000}, {""mixing_ratio_pct"": 25, ""gt_examples"": 500, ""llm_examples"": 1500}, {""mixing_ratio_pct"": 50, ""gt_examples"": 1000, ""llm_examples"": 1000}, {""mixing_ratio_pct"": 75, ""gt_examples"": 1500, ""llm_examples"": 500}, {""mixing_ratio_pct"": 100, ""gt_examples"": 2000, ""llm_examples"": 0}]"
2250,67.46328559700811,74.20396862021227,80.90443384561031,84.83399245838315,85.32315142484633,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 2250}, {""mixing_ratio_pct"": 25, ""gt_examples"": 562, ""llm_examples"": 1688}, {""mixing_ratio_pct"": 50, ""gt_examples"": 1125, ""llm_examples"": 1125}, {""mixing_ratio_pct"": 75, ""gt_examples"": 1688, ""llm_examples"": 562}, {""mixing_ratio_pct"": 100, ""gt_examples"": 2250, ""llm_examples"": 0}]"
2500,69.96233521657251,74.67811158798283,80.7942302555427,84.58432739952285,85.46500835344347,"[{""mixing_ratio_pct"": 0, ""gt_examples"": 0, ""llm_examples"": 2500}, {""mixing_ratio_pct"": 25, ""gt_examples"": 625, ""llm_examples"": 1875}, {""mixing_ratio_pct"": 50, ""gt_examples"": 1250, ""llm_examples"": 1250}, {""mixing_ratio_pct"": 75, ""gt_examples"": 1875, ""llm_examples"": 625}, {""mixing_ratio_pct"": 100, ""gt_examples"": 2500, ""llm_examples"": 0}]"
