trial_number,value,state,learning_rate,others_lr,weight_decay,others_weight_decay,warmup_ratio,batch_size,lora_r,gradient_accumulation_steps
1,87.29956268221574,COMPLETE,0.00011896005285464846,4.454123853649946e-05,0.031221008437955035,0.07007516042810923,0.08596415586002987,4,32,2
9,86.87956204379562,COMPLETE,0.00021177442690689942,1.4582802475125184e-05,0.0003201438690115657,0.00010058161468739367,0.16292623679629903,12,32,2
7,86.63879294673696,COMPLETE,3.3077790688018276e-05,0.00012200162053699153,0.025949752433407167,0.00012330252724269635,0.1457847340391497,12,32,1
3,81.62032513102959,COMPLETE,7.284463222899765e-06,0.003871680478456503,0.0012280661891857709,0.016586314251537917,0.09436512800656618,12,8,1
6,13.158660844250363,COMPLETE,0.0004049131220895084,8.465272250181585e-05,0.010014400574975579,0.005144844400054236,0.10701375470846064,2,64,1
0,0.0,COMPLETE,0.0018443088101590757,8.956303896406857e-05,0.0003465865535399338,0.010746811015830148,0.15956331129936055,16,16,2
5,0.0,COMPLETE,1.3260562242116742e-05,9.44426750393825e-05,2.7032771758612337e-05,0.0014313013114018354,0.17020627747433592,2,64,4
4,0.0,COMPLETE,0.0016112281223818184,0.0007395695572031889,0.008975417040650047,1.461393754601164e-05,0.06415101318060248,16,8,2
2,0.0,COMPLETE,0.0014921547266328913,0.0009978428978557278,3.7680117058811854e-05,0.040464175048076714,0.145119322838481,8,16,4
8,0.0,COMPLETE,0.0010755449818459753,0.0008818577182688804,0.00201432490833257,3.746928327200838e-05,0.1837567555759163,4,64,1
